Name,Slot,Cost,Type,Elements,Prerequisites,Max Replicates,Double-Edged,Short,Description,Tags
acrobatic,armor,1,advanced,air,,1,No,Dive over and under your foes.,"You may move through the tiles of hostile creatures, although you provoke an attack of opportunity when you do so. Attacks of opportunity against you are made with disadvantage when you have moved at least 10 feet in a straight line before triggering them.",skirmisher
blind,trinket,1,advanced,umbral,,1,Yes,You are blind but can sense your surroundings.,"You can no longer see in the usual fashion. Instead, you gain an innate awareness of the 60 feet around you as if you could see in bright light. Normal challenges to vision such as darkness, fog, smoke or most sources of the blinded condition no longer affect you, although solid objects do. You cannot see at all beyond this radius.",general utility
bloodthirsty,arms,1,advanced,umbral,,1,No,Guaranteed critical hits after you drop a foe.,"Whenever you reduce a non-allied creature to below zero life, your critical hit threshold for all attacks is reduced to 1 until the end of your next turn.",general offensive
brash,arms,1,advanced,earth,,1,No,Charge at enemies and tackle them.,Whenever you move 10 feet in a straight line and then hit a creature with a melee basic attack you automatically hit them a Shove attack as well.,frontline
burly,arms,1,advanced,earth,,1,No,"Carry off creatures better, even if they squirm.",You have advantage on skill checks made to maintain a grapple. You may move at full speed when dragging a creature you have grappled.,guardian
careful,arms,1,advanced,water,,1,No,Avoid accidentally hurting your friends.,Attacks that you make against allied creatures have disadvantage.,backline
chosen,trinket,1,advanced,"umbral, radiant",,1,No,Once per rest gain a Resolve effect.,Once per rest you may gain a benefit that would normally be earned by spending Resolve (other than to gain a rest).,general utility
coolheaded,arms,1,advanced,water,,1,No,Make ranged attacks under pressure.,Being threatened no longer applies disadvantage to your ranged attacks.,backline
daring,arms,1,advanced,,,1,No,Parry your foes while only wielding a melee weapon in only one hand.,"When you are wielding a melee weapon in one hand and have nothing in your other hand, the die size of your Block reaction is increased once. In addition, while this is true, you may make a basic attack with your weapon against your attacker if they are in range whenever you use the Block reaction.",skirmisher
darting,armor,1,advanced,radiant,,0,No,Shift when you apply a boon.,"Whenever you apply a boon to another creature, you may move into an adjacent empty tile without provoking an attack of opportunity or spending movement. You only gain this benefit the first time each round that this triggers.",guardian
deft,armor,1,advanced,air,,1,No,Dash and Disengage at once.,"When you take the Dash minor action, also gain the effects of the Disengage minor action and vice versa.",skirmisher
demure,armor,1,advanced,electric,,1,No,Hit creatures to get around or away from them.,"Whenever you hit a creature within attack, they do not threaten you until the start of your next turn.",skirmisher
elusive,armor,1,advanced,air,,1,No,Avoid attacks of opportunity completely when you Disengage.,"When you take the Disengage minor action, you do not trigger attacks of opportunity until the start of your next turn.",skirmisher
encouraging,arms,1,advanced,radiant,,0,No,Your target may shift when you apply a boon.,"Whenever you apply a boon to another creature, they may move into an adjacent empty tile without provoking an attack of opportunity or spending movement. You only gain this benefit the first time each round that this triggers.",guardian
enduring,arms,1,advanced,arcane,,1,No,Higher max essence.,Your maximum essence is increased by 4 + your level.,general utility
flexible,arms,1,advanced,air,,1,No,Grapple with Agility.,You may use Agility (Athletics) instead of Prowess  (Athletics) to maintain a grapple. You have advantage on all skill checks made to escape a grapple.,skirmisher
hearty,armor,1,advanced,primal,,1,No,Remove two stacks of each condition every turn.,"Remove two stacks of each condition from yourself at the end of each of your turns, rather than the usual one.",general defensive
resolute,armor,1,advanced,earth,,1,No,You are immune to forced movement.,You are immune to forced movement.,frontline
lithe,armor,1,advanced,umbral,,1,No,Hide easily and move quickly while hidden.,You may attempt to Hide when only obscured by a single effect. You may move at full speed while stealthed without suffering disadvantage on Stealth checks.,skirmisher
lucky,arms,1,advanced,radiant,,1,No,Reroll 1s when attacking.,"Whenever you roll a 1 on an attack roll, reroll the attack. You must use the new result.",general offensive
merciless,arms,1,advanced,decay,,1,No,Double down on conditions.,"Whenever you apply at least one stack of a condition to a creature that already has a stack of that same condition, apply an additional stack of that condition.",general offensive
nimble,armor,1,advanced,electric,,1,No,You are unusually fast when you Dash.,"Your Dash minor action now grants you additional movement speed equal to your movement speed, rather than half of it.",skirmisher
nocturnal,trinket,1,advanced,umbral,,1,No,See in the dark.,"Objects in dim light are no longer obscured, and objects in darkness are now merely obscured, rather than invisible.",general utility
obstinate,arms,1,advanced,,,1,No,Lash out at creatures who try to walk around you.,"Whenever a creature moves into a tile you are threatening while already threatened by you, you may make an attack of opportunity against them.",guardian
opportunistic,arms,1,advanced,electric,,1,No,Advantage on attacks of opportunity.,You have advantage on attacks of opportunity.,frontline
pragmatic,arms,1,advanced,corrosion,,1,No,Advantage on Shove and Expose attacks.,You have advantage on Shove and Expose attacks.,frontline
prepared,trinket,1,advanced,,,1,No,Attune to twice as much gear.,"You can now attune to two different sets of armor and four different sets of arms so long as each set has an enchantment point total less than your aptitude bonus. Like always, you can only benefit from one set of armor at a time and need to physically change what you are wearing to swap the benefits.",general utility
