Name,Slot,Cost,Type,Elements,Prerequisites,Max Replicates,Double-Edged,Short,Description,Tags
fleeting resistance,,1,mundane,specified,,0,No,Gain temporary resistance to a damage type.,"Until the end of your next rest, you have resistance to a specified damage type. The enchantment point cost is increased to 3 if the damage type chosen is physical.",defensive
cleansing,consumable,1,mundane,,,1,No,Remove all conditions.,Remove all conditions from yourself.,defensive
curative,consumable,1,mundane,,,1,No,Remove all afflictions.,Remove all afflictions from yourself.,defensive
proactive,consumable,1,advanced,,,1,No,The consumable automatically triggers when you drop below half life.,"The first time before your next rest that you are below half life, this consumable automatically triggers.",meta
healing,consumable,1,mundane,,,1,No,Regain life.,"Restore 10 life, modified by the result of your Focus (Medicine) skill check.",defensive
prophylaxis,consumable,2,advanced,,,0,No,Gain temporary immunity to a condition.,"Until the end of your next rest, gain immunity to a specified condition.",defensive
fleeting immunity,consumable,2,advanced,,,0,No,Gain temporary immunity to a damage type.,"Until the end of your next rest, gain immunity to the specified damage type (other than physical).",defensive
fleeting conversion,consumable,1,advanced,specified,,1,Yes,The damage type of your basic attacks is temporarily changed.,"Until the end of your next rest, your basic attacks deal the specified damage type instead.",offensive
fleeting penetration,consumable,1,advanced,specified,,0,No,Temporarily ignore resistance to a damage type.,"Until the end of your next rest, ignore resistance to the specified element.",offensive
fleeting obliteration,consumable,2,advanced,specified,,0,No,Temporarily ignore resistance and immunity to a damage type.,"Until the end of your next rest, ignore resistance and immunity to the specified element.",offensive
applicative,consumable,1,mundane,,,1,No,Apply this consumable when you Treat creatures.,You may now apply this consumable's effect to a willing creature when you use the Treat major action on them. This is treated as if they had used a consumable item themselves for the sake of suffering from essence overload.,meta
distant,consumable,1,mundane,,,1,No,Apply this consumable from range.,You may now apply this consumable's effect to a willing creature within 30 feet. This is treated as if they had used a consumable item themselves for the sake of suffering from essenceoverload.,meta
explosion,consumable,1,mundane,specified,,0,No,Deal damage in a 10 foot radius.,"Make an Agility attack against all creatures in a 10 foot radius centered around a tile of your choice within 30 feet. If you hit, deal 3d6 damage of the specifed type, and half as much to those you miss.",offensive
cruel explosion,consumable,1,mundane,specified,,0,No,Apply afflicitons in a 10 foot radius.,"Make an Agility attack against all creatures in a 10 foot radius centered around a tile of your choice within 30 feet. If you hit, apply 5 stacks of the specified affliction. Creatures that you miss take 3 stacks of the specified affliction.",offensive
imbued explosion,consumable,1,mundane,specified,,0,No,Apply conditions in a 10 foot radius.,"Make an Agility attack against all creatures in a 10 foot radius centered around a tile of your choice within 30 feet. If you hit, apply 2 stacks of the specified condition to creatures that you hit. Creatures that you miss still suffer 1 stack of the condition.",offensive
imbued coating,consumable,2,advanced,specified,,0,No,"For the next while, your weapon applies a condition when you hit with it.","Until the end of your next rest, whenever you hit a creature with a basic attack apply the specified condition.",offensive
cruel coating,consumable,1,advanced,specified,,0,No,"For the next while, your weapon applies an affliction when you hit with it.","Until the end of your next rest, whenever you hit a creature with a basic attack apply two stacks of the specified affliction.",offensive
wandering toy,consumable,0,exotic,,,1,Yes,This consumable wanders around before detonating.,"This item wanders around at random, traveling up to 30 feet in a random direction at the start of each of your turn, stopping for the turn if it hits a wall or other obstruction. It detonates if it enters a tile occupied by any creature. You may no longer trigger this consumable in the ordinary fashion.",meta
remote control toy,consumable,1,exotic,,,1,No,You may direct this consumable's movement as a minor action.,"As a minor action while this object is within 300 feet of you, you may cause it to move up to 30 feet along the ground. You do not gain any special awareness of this object's state or surroundings. You may trigger it as a minor action.",meta
homing toy,consumable,0,exotic,,,1,Yes,This consumable seeks out the nearest creature.,"At the start of each of your turns, this consumable moves u6p to 15 feet towards the nearest creature within 60 feet of you. It detonates if it enters a tile occupied by any creature. You may no longer trigger this consumable in the ordinary fashion.",meta
possessed toy,consumable,1,advanced,,,1,No,You can sense through this consumable.,"Until your next rest, you can use your senses as if you were at the location of this consumable.",utility
hairtrigger,consumable,0,advanced,,,1,Yes,This consumable triggers when you are hit by an attack.,"The first time before your next rest that you are hit by an attack, this consumable automatically triggers, targeting the creature who hit you if applicable.",meta
infinite absorption,consumable,1,advanced,,,0,No,You are temporarily immune to damage.,You are immune to damage until the end of your next turn.,defensive
failsafe,consumable,0,advanced,,,1,Yes,This consumable triggers when you are reduced below 0 life.,"The first time before your next rest that you are reduced to below 0 life, this consumable automatically triggers, targeting the creature who hit you if applicable.",meta
