Name,Slot,Cost,Type,Elements,Prerequisites,Max Replicates,Double-Edged,Short,Description,Tags
crude manipulators,arms,-1,advanced,,"!two-handed, one-handed, versatile, free hands",1,Yes,You don't really have hands.,"You never have a free hand for the purposes of grappling, inflicting disadvantage on all Grapple attacks. You cannot use fine motor skills.",grappling
storm surge,arms,1,advanced,water,,1,No,Attacks made with advantage knock creatures prone.,"Whenever you hit with an attack that you had advantage on, knock the creature you hit prone.","advantage, condition"
insidious,arms,1,advanced,umbral,,1,Yes,Damage from afflictions can't be prevented.,"Damage dealt by afflictions to creatures within 120 feet of you cannot be prevented in any way. It ignores resistance, immunity and absorption.",affliction
cruel grasp,arms,1,advanced,specified,,0,No,Apply afflictions when you grapple.,"At the end of each of your turns, apply 3 stacks of the specified affliction to each creature you have grappled.","affliction, grappling"
cruel attacks,arms,1,advanced,specified,,0,No,Apply afflictions when you hit with an attack.,"Whenever you hit a creature with an attack, apply 1 stack of the specified affliction.","affliction, special attack"
slip away,arms,1,advanced,water,,1,No,Disengage when you hit with basic attacks.,"Whenever you hit with a basic attack, gain the benefits of the Disengage minor action.",agile
magical splashing,arms,1,advanced,fire,,1,Yes,Single target attacks hit all nearby creatures instead.,"Every single target attack you make hits all creatures within 5 feet instead. If more than one creature is within range of this effect, the attack deals half damage. You may now target empty tiles with your single target attacks.",area
forceful shield,arms,1,advanced,air,,0,No,Blocking melee attacks knocks enemies back.,"Whenever you use the Block reaction against a melee attack, knock the attacker back 15 feet.",blocking
stubborn shield,arms,1,advanced,earth,,1,No,Resist forced movement and grappling when you block.,"Whenever you use the Block reaction, also gain the effect of the Resist reaction.",blocking
escaping shield,arms,1,advanced,air,,1,Yes,You are blown away when you Block.,"Whenever you use the Block reaction, you are pushed back 15 feet away from the source of the damage.",blocking
pulverizing,arms,1,advanced,earth,,1,No,Land criticals on prone creatures.,Your critical hit threshold is reduced by 3 against creatures who are prone.,brawling
elemental aura,arms,1,advanced,specified,,0,Yes,Deal elemental damage to those around you at the end of each of your turns.,"At the end of each of your turns, deal 3 damage of the specified element to all creatures within 5 feet of you.","elements, damage"
imbued aura,arms,1,advanced,specified,,0,Yes,Apply a condition to those around you at the end of each of your turns.,"At the end of each of your turns, make a special attack of the specified type against all other creatures within 5 feet of you. If you hit, apply one stack of the specified condition.","elements, damage"
cruel aura,arms,1,advanced,specified,,0,Yes,Apply afflictions to those around you at the end of each of your turns.,"At the end of each of your turns, apply two stack of the specified affliction to all other creatures within 5 feet of you.","elements, damage"
assured aura,arms,1,advanced,specified,,0,Yes,Apply a guaranteed condition to those around you at the end of each of your turns.,"At the end of each of your turns, apply one stack of the specified condition to all other creatures within 5 feet of you.","elements, damage"
absorbing,arms,1,advanced,arcane,,1,No,Restore essence when you block.,"The first time in a round that you use your Block reaction, restore 2 essence.",essence
regrowth,arms,1,advanced,primal,,0,No,Regain essence whenever you end your turn without spending any.,"At the end of each of your turns in combat in which you did not spend essence, gain 2 essence.",essence
replenishing,arms,1,advanced,arcane,,0,No,Restore essence when you hit.,"The first time in a round that you hit an enemy with an attack, restore 1 essence.",essence
thirsting,arms,1,advanced,umbral,,1,Yes,"Drain essence, but regain it when others go down.","At the end of each of your turns in which you spent essence, lose 1 essence. Whenever a creature within 30 feet of you is reduced to below 0 life, restore 5 essence.",essence
elemental grasp,arms,1,advanced,specified,,0,No,Deal damage to creatures you are grappling.,"At the end of your turn, creatures you are grappling take 1d6 damage of the specified type.",grappling
imbued grasp,arms,1,advanced,specified,,0,No,Apply a condition to creatures you are grappling.,"At the end of each of your turns, apply the specified condition to each creature you are grappling.","grappling, condition"
vampiric,arms,1,advanced,umbral,,0,No,Regain life when you hit enemies.,"When you hit an enemy with an attack for the first time in a round, restore 2 life.",life
accelerating,arms,1,advanced,electric,,0,No,You boons also grant movement speed.,"The first time each round that you apply a boon to an ally, their movement speed is increased by 10 feet next round.",support
revealing,arms,1,advanced,,,1,No,Your Expose attacks automatically hit.,Your Expose attacks automatically hit.,?
careful aim,arms,1,advanced,,,1,No,Minor action to gain advantage on next basic attack.,"As a minor action, you may gain advantage on the next basic attack you make this turn.",advantage
attributes,arms,1,advanced,,,0,No,Increase an attribute once.,Increase an attribute of your choice by 1.,attributes
shifting,arms,1,advanced,,,0,No,You can select between two forms of these arms.,"These arms have two forms. As a minor action, or upon making a basic attack, you may choose which of the two forms' mundane affixes to use.",basic attack
superior reach,arms,1,advanced,,reach,1,No,Gain a 15 foot reach.,The area that you threaten increases to a 15 foot radius. The range of your basic melee attacks increases to 15 feet.,basic attack
titanic,arms,1,advanced,,,1,No,Wield huge weapons with a single hand.,"You may ignore the two-handed property of weapons, and wield them using only one hand.",basic attack
shock absorbing,arms,1,advanced,,,1,Yes,"Your Block is stronger, and causes you to be pushed away.",Your Block reaction always absorbs maximum damage. You are shoved 5 feet back away from the source of the attack whenever you use the Block reaction.,blocking
headstrong,arms,1,advanced,,,1,No,Get advantage on basic and Shove attacks when you charge.,"Whenever you move at least 10 feet in a straight line, you have advantage on all melee basic and Shove attacks made against creatures in front of you.",brawling
flattening,arms,1,advanced,,,1,No,"When you hit a creature with a critical strike, knock them prone.","When you hit a creature with a critical strike, knock them prone.",brawling
taunt,arms,1,advanced,,,1,No,Minor action and Presence attack to apply taunted.,"As a minor action, make a Presence attack against a creature within 30 feet; applying taunted if you hit.",condition
keen eye,arms,1,advanced,,,0,No,Your critical hit threshold is reduced by one.,Your critical hit threshold is reduced by one for all attacks.,critical
precise eye,arms,1,advanced,,,1,No,Your critical hit threshold is reduced by two when you have advantage.,Your critical hit threshold is reduced by two for all attacks that you make with advantage.,critical
attraction,arms,1,advanced,,,0,Yes,Pull creatures you hit towards you.,"Whenever you strike a creature with an attack, pull them 10 feet directly towards you.",displacement
repulsion,arms,1,advanced,,,0,Yes,Knock creatures away when you hit them.,"Whenever you hit a creature with an attack, knock them back 10 feet directly away from you.",displacement
colors of the rainbow,arms,1,advanced,,,1,No,Pick from three damage types whenever you deal damage.,"Whenever you make an attack, select one of the three specified damage types for the attack to deal.",elements
uniformity,arms,1,advanced,,,1,Yes,All you always deal exactly as much damage as you should.,"Damage that you deal ignores all resistances, immunities and vulnerabilities to damage types. All damage you deal is physical.",elements
jubilation,arms,1,advanced,,,0,No,Regain essence on critical hits.,"The first time each round that you hit an enemy with an attack that is a critical hit, restore 3 essence.","essence, critical"
expandable stomach,arms,1,advanced,,swallowing,1,No,You may swallow any size of creature.,You may swallow any size of creature.,grappling
grappling,arms,1,advanced,,,1,No,Gain advantage on Grapple attacks and skill checks to maintain a grapple.,Gain advantage on Grapple attacks and skill checks to maintain a grapple.,grappling
grasping reach,arms,1,advanced,,,0,No,Grapple and Shove from further away.,The range of your Grapple and Shove attacks is increased by 5 feet. You no longer suffer disadvantage on Grapple attacks due to not having a free hand.,grappling
overpowering grasp,arms,1,advanced,,,1,No,Automatically Shove creatures you have grappled.,You automatically hit with all Shove attacks against creatures you have grappled.,grappling
lingering grasp,arms,1,advanced,,,1,No,Apply a condition when a creature breaks free from your grapple.,"Whenever a creature breaks free of your grapple, apply the specified condition.","grappling, condition"
range,arms,1,advanced,,,0,No,Double your range.,Double the range of all of your ranged attacks and powers.,range
archer hunter,arms,1,advanced,,,1,No,Enemy ranged attacks provoke attacks of opportunity.,Creatures who make a ranged attack while you are threatening them provoke an attack of opportunity.,reactions
mage hunter,arms,1,advanced,,,1,No,Enemies who spend essence provoke attacks of opportunity.,Creatures who spend essence while you are threatening them provoke an attack of opportunity.,reactions
combat medic,arms,1,advanced,,,1,No,Make Treat checks with advantage.,You have advantage on all skill checks made to use the Treat major action.,support
seasoned medic,arms,1,advanced,,,1,No,Use Treat as a minor action.,You may use the Treat major action as a minor action instead.,support
telemedicine,arms,1,advanced,,,1,No,Treat creatures within 30 feet.,You may use the Treat major action on any creature within 30 feet of you.,support
