Name,Slot,Cost,Type,Elements,Prerequisites,Max Replicates,Double-Edged,Short,Description,Tags
imbued shield,arms,1,mundane,specified,,1,No,Apply a condition when you Block.,"Whenever you  use your Block reaction, make a special atttack against the specified special defense. If you hit, apply one stack of the specified condition to the creature that hit you. ",
imbued victory,arms,1,mundane,specified,,1,No,Apply a condition when you crit.,"Whenever you land a critical hit with a basic attack on a creature, apply two stacks of the specified condition.",
cruel shield,arms,1,mundane,specified,,1,No,Apply an affliction when you Block.,"Whenever you use your Block reaction, apply two stacks of the specified affliction to the creature that hit you.",
cruel victory,arms,1,mundane,specified,,1,No,Apply an affliction when you crit.,"Whenever you land a critical hit with a basic attack on a creature, apply six stacks of the specified affliction.",
imbued strikes,arms,1,mundane,specified,,0,,Basic attacks apply a condition.,"Whenever you hit a creature with a basic attack, make a special atttack against the specified special defense. If you hit, apply one stack of the specified condition. ",
cruel strikes,arms,1,mundane,specified,,0,,Basic attacks apply an affliction.,"Whenever you hit a creature with a basic attack, apply two stacks of the specified affliction.",
spraying,arms,1,mundane,corrosion,,1,Yes,Basic attacks hit all creatures within a short-range cone.,"The range of your basic attacks is halved, rounded up to the nearest 5 foot increment. Basic attacks that you make target all creatures within a cone with a size equal to your arm's basic attack range and deal half damage. Effects which trigger when you hit with a basic attack can only trigger once, against a creature of your choice that you hit.",
radial,arms,1,mundane,decay,,1,No,Basic attacks hit everything around you.,Basic attacks target all creatures within your range other than yourself. You deal half damage with all basic attacks.,
splatter,arms,2,mundane,,,1,Yes,Basic attacks hit in a cone behind your target.,"When you make a basic attack, you also make a basic attack against all creatures in a 5 foot cone behind your target. You may now attack empty tiles in order to take advantage of this effect.",basic attack
guarding,arms,1,mundane,radiant,,1,No,Block attacks intended for your adjacent allies.,You may use your Block reaction to prevent damage from an attack made against any creature in an adjacent tile.,
free hands,arms,0,mundane,,!ranged or thrown or versatile or two-handed,1,No,Both your hands stay free while using these weapons.,The use of these weapons leaves both of your hands free.,
cleaving,arms,1,mundane,"eldritch, fire","!ranged, !thrown-only",1,Yes,Cleave adjacent creatures when you crit or drop a creature.,"Whenever you hit a creature with a basic attack with this weapon and that basic attack is a critical hit or reduces them to 0 life or less, you must make another basic attack against a creature that is adjacent to them and within this weapon's range if able.",
charging,arms,0.5,mundane,fire,"!ranged, !thrown-only",1,No,Crit more easily when you charge.,"When you move 10 feet in a straight line before making a basic attack, your critical hit threshold for that attack is reduced by 3.",
keen,arms,0.5,mundane,,,0,No,Crit more often with this weapon,The critical hit threshold of your basic attacks with this weapon is reduced by one.,
precise,arms,0.5,mundane,,,1,No,Crit more often with this weapon when you have advantage.,The critical hit threshold of your basic attacks with this weapon that are made with advantage are reduced by two.,
reliable damage,arms,0.5,mundane,,,1,No,Deal more damage more reliably.,"When dealing damage for basic attacks made with this weapon, roll two damage dice with the same total number of sides as your previous damage die instead. Whenever you roll for damage and roll all 1s, reroll damage and use the new result.",
disorienting,arms,1,mundane,,,1,No,Disorient your target when you hit them so you can escape.,"Whenever you hit a creature with a basic attack, they may not make attacks of opportunity against you until the end of this turn.",
exposing,arms,1,mundane,,,1,No,Expose your target when you hit them.,"Whenever you hit a creature with a basic attack, you may immediately make an Expose attack against that creature.",
clip,arms,0.5,mundane,,reloading,0,No,Go longer before you need to reload.,The number of basic attacks you can make with these arms before you have to reload increases by three.,
puncturing,arms,1,mundane,,"!sweeping, !cleaving",1,Yes,Hit the creature behind as well when you crit or drop a creature.,"Whenever you hit a creature with a basic attack with this weapon and that basic attack is a critical hit or reduces them to 0 life or less, you must make another basic attack against the first creature that is behind them and within this weapon's range if able.",
knockback,arms,0.5,mundane,,,0,No,Knock back creatures you hit with this weapon.,"Whenever you strike a creature with this weapon, make a Prowess attack against them. If you hit, they are pushed back 5 feet directly away from you. ",
crushing,arms,0.5,mundane,earth,,1,No,Knock creatures prone when you crit with this weapon.,"When you hit a creature with a basic attack critical strike, knock them prone.",
ignition,arms,1,mundane,fire,,1,No,Light creatures aflame with this weapon.,"Whenever you hit a creature with a basic attack, make an Agility attack against that creature. If you hit, set them aflame. ",
lunging,arms,1,mundane,air,,1,No,Lunge forward when you Strike.,"When you take the Strike action, you may move into an adjacent tile before selecting a target and making a melee basic attack. This does not provoke attacks of opportunity or cost movement.",
retaliation,arms,1,mundane,"primal, radiant",,1,No,Make opportunity attacks against creatures who hit you.,"Whenever you are hit by an attack, you may make an attack of opportunity against the creature that struck you.",
pinning,arms,0.5,mundane,,,1,No,Pin creatures down.,You have advantage on skill checks to keep creatures grappled while they are prone.,
vulnerable,arms,-1,mundane,,"!blocking, !distracting",1,No,Provoke an attack of opportunity when you use this weapon.,You provoke an attack of opportunity whenever you make a basic attack with this weapon.,
pulling,arms,0.5,mundane,,,0,No,Pull creatures towards you when you hit them with this weapon.,"Whenever you strike a creature with this weapon, make a Prowess attack against them. If you hit, they are shoved 5 feet directly towards you. ",
vengeful shield,arms,1,mundane,specified,,0,No,Reflect damage when you Block.,"Whenever you Block an attack, deal 1d6 damage of the specifed damage type to your attacker.",blocking
momentum,arms,1,mundane,,,0,No,Shift after you hit with an attack.,"After you hit with a basic attack, you may move into an adjacent empty tile of your choice. This does not cost movement or provoke attacks of opportunity.",
shoving,arms,1,mundane,,!ranged or thrown,1,No,Shove creatures when you hit them with a basic attack.,"Whenever you strike a creature with a basic attack, you may immediately attempt make a Shove attack against them.",
bashing,arms,1,mundane,earth,"!ranged, !thrown-only",1,No,"Shove roughly, dealing damage.",Deal 1d4 physical damage when you hit a creature with a Shove attack.,
steady shield,arms,2,mundane,earth,blocking,1,No,Stand still to Block with maximum effectiveness.,"If you did not move in your last turn, your Block reaction absorbs the maximum amount of damage.",
massive,arms,1,mundane,,,1,No,Stand still to land huge blows.,"When you take the Strike action with this weapon and have not spent any movement yet, you may choose to lower the critical hit threshold for your basic attacks this turn by 5. If you do, you cannot spend movement this turn.",
