Name,Slot,Cost,Type,Elements,Prerequisites,Max Replicates,Double-Edged,Short,Description,Tags
pass without trace,trinket,2,advanced,arcane,,1,No,You can pass through solid objects.,You may pass through and occupy solid objects by spending twice as much movement as usual. No one can follow you as you pass seamlessly through the material. You cannot see while in this state and sounds are muffled as if through a thick wall.,
vanishing,trinket,1,exotic,arcane,,1,No,Cause people to disappear by artfully using this object.,"If you spend 10 minutes interacting with creatures using this item, make a Presence attack against them. If you hit, they are banished for the next hour.",art
luring,trinket,1,exotic,"water, eldritch",,1,No,Convince people to follow you by artfully using this object.,"If you spend 10 minutes interacting with creatures using this item, make a Presence attack against them. If you hit, they must follow you wherever you go for the next hour. If they are hit by an attack or take damage during this time, you must hit them with a new Presence attack in order to maintain this effect.",art
detect alignment,trinket,1,exotic,"radiant, umbral",,1,Yes,Divine the ideals that a creature holds as a downtime activity.,"Once for each creature that you meet, you may make a difficulty 15 Focus (Insight) skill check. If you succeed, you learn the value for each Ideal that it has. The creature may choose to resist this, in which case you must win a secret skill contest pitting your Focus (Insight) against its Focus (Charisma), learning the ideals that it intends to portray instead if you fail.",divination
maddening,trinket,1,exotic,"eldritch, fire",,1,No,Drive people insane by artfully using this object.,"If you spend 10 minutes interacting with creatures using this item, make a Presence attack against them. If you hit, they suffer madness for the next hour. If they are hit by an attack or take damage during this time, you must hit them with a new Presence attack in order to maintain this effect.",art
telepathy,trinket,1,advanced,eldritch,,1,No,Freely communicate telepathically over short distances.,You may communicate telepathically with any creature within 30 feet of you so long as you share a language.,communication
soothing,trinket,1,exotic,"radiant, primal",,1,No,Lull people into a deep calm by artfully using this object.,"If you spend 10 minutes interacting with creatures using this item, make a Presence attack against them. If you hit, they are pacified for the next hour.",art
sense life,trinket,1,advanced,primal,,1,No,Once per rest you can detect all nearby living creatures.,"Once per rest when you use the Scan minor action, you automatically learn the location and species of all living creatures within 120 feet.",senses
lullabies,trinket,1,exotic,"radiant, primal",,1,No,Put people to sleep by artfully using this object.,"If you spend 10 minutes interacting with creatures using this item, make a Focus attack against them. If you hit, they fall asleep.",art
terrifying,trinket,1,exotic,"radiant, primal",,1,No,Stir up a deep fear in people by artfully using this object.,"If you spend 10 minutes interacting with creatures using this item, make a Presence attack against them. If you hit, they are afraid of the creature of your choice for the next hour.",art
pockets,trinket,1,exotic,arcane,,0,No,Store and retrieve objects in extradimensional space.,"As a minor action, you may open a portal to an extradimensional space and store or retrieve an item in it. You can store up to 5 inventory slots worth of items in this space. If you fall unconscious for any reason other than natural sleep, the contents of this space immediately tumble onto the ground beside you.",storage
ghost light,trinket,1,exotic,radiant,,1,Yes,The light emitted by this object can only be seen by the creature attuned to it.,The light emitted by this object can only be seen by the creature attuned to it.,light
darkflame,trinket,1,advanced,umbral,,1,No,This item sheds darkness rather than light.,This light source produces darkness and dim light conditions rather than bright light and dim light.,light
light,trinket,1,advanced,radiant,,0,No,This object casts controllable light.,"This object sheds light. You can control the intensity and color of the light produced as a minor action, up to a 60 foot radius. If you choose to shed bright light, an area of twice the radius is dimly lit. The maximum radius doubles every time you add this affix.",light
